19:52:37 - 来自: main.py:1720 - <module>                        | 调用函数            | __main__.__init__                        | 参数: {'self': '<__main__.MaYun object at 0x0000020D2062BD30>'}
19:52:54 -                 来自: main.py:322 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(865, 30, 1121, 82), (866, 30, 1121, 82), (867, 30, 1121, 82), (865, 31, 1121, 82), (866, 31, 1121, 82), (867, 31, 1121, 82), (868, 31, 1121, 82), (916, 31, 1121, 82), (917, 31, 1121, 82), (865, 32, 1121, 82), (866, 32, 1121, 82), (867, 32, 1121, 82)]', 'distance': '25'}
19:52:54 -                 来自: main.py:322 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(865, 30, 1121, 82), (916, 31, 1121, 82)])
19:52:54 -             来自: main.py:376 - find_my_cards                    | 函数返回            | __main__.cards_info                      | 返回值: 22AAAKJJ987755533
19:52:54 -         来自: main.py:683 - before_start                     | 函数返回            | __main__.find_my_cards                   | 返回值: 22AAAKJJ987755533
19:52:54 - 来自: main.py:1722 - <module>                        | 调用函数            | __main__.state_display                   | 参数: {'self': '<__main__.MaYun object at 0x0000020D2062BD30>', 'result': '在游戏中'}
19:52:54 - 来自: main.py:1722 - <module>                        | 函数返回            | __main__.state_display                   | 返回值: None
19:52:54 - 来自: main.py:1722 - <module>                        | 调用函数            | __main__.bid_display                     | 参数: {'self': '<__main__.MaYun object at 0x0000020D2062BD30>', 'result': '得分：-0.048'}
19:52:54 -         来自: main.py:741 - before_start                     | 调用函数            | __main__.find_my_cards                   | 参数: {'self': '<__main__.Worker object at 0x0000020D22013310>'}
19:52:54 - 来自: main.py:1722 - <module>                        | 函数返回            | __main__.bid_display                     | 返回值: None
19:52:54 - 来自: main.py:1722 - <module>                        | 调用函数            | __main__.suggest1_text                   | 参数: {'self': '<__main__.MaYun object at 0x0000020D2062BD30>', 'result': '建议： 不叫'}
19:52:54 - 来自: main.py:1722 - <module>                        | 函数返回            | __main__.suggest1_text                   | 返回值: None
19:52:54 - 来自: main.py:1722 - <module>                        | 调用函数            | __main__.suggest2_text                   | 参数: {'self': '<__main__.MaYun object at 0x0000020D2062BD30>', 'result': '建议： 不加倍'}
19:52:54 - 来自: main.py:1722 - <module>                        | 函数返回            | __main__.suggest2_text                   | 返回值: None
19:52:54 - 来自: main.py:1722 - <module>                        | 调用函数            | __main__.cards_recorder                  | 参数: {'self': '<__main__.MaYun object at 0x0000020D2062BD30>', 'result': 'DX22AKKKQQQQJJTTTT9998887766665444433'}
19:52:54 - 来自: main.py:1722 - <module>                        | 函数返回            | __main__.cards_recorder                  | 返回值: None
19:52:54 -             来自: main.py:376 - find_my_cards                    | 调用函数            | __main__.cards_info                      | 参数: {'self': '<__main__.Worker object at 0x0000020D22013310>', 'img': '[[[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n ...\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]]', 'pos': '(54, 481, 1121, 82)', 'mark': 'm', 'confidence': '0.8'}
19:52:54 -                 来自: main.py:322 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(107, 30, 1121, 82), (108, 30, 1121, 82), (109, 30, 1121, 82), (159, 30, 1121, 82), (107, 31, 1121, 82), (108, 31, 1121, 82), (109, 31, 1121, 82), (158, 31, 1121, 82), (159, 31, 1121, 82), (107, 32, 1121, 82), (108, 32, 1121, 82), (109, 32, 1121, 82), (158, 32, 1121, 82)]', 'distance': '25'}
19:52:54 -                 来自: main.py:322 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(107, 30, 1121, 82), (159, 30, 1121, 82)])
19:52:54 -                 来自: main.py:322 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(208, 27, 1121, 82), (209, 27, 1121, 82), (309, 27, 1121, 82), (310, 27, 1121, 82), (208, 28, 1121, 82), (209, 28, 1121, 82), (309, 28, 1121, 82), (310, 28, 1121, 82), (208, 29, 1121, 82), (209, 29, 1121, 82), (210, 29, 1121, 82), (259, 29, 1121, 82), (309, 29, 1121, 82), (310, 29, 1121, 82), (311, 29, 1121, 82), (208, 30, 1121, 82), (209, 30, 1121, 82), (210, 30, 1121, 82), (259, 30, 1121, 82), (260, 30, 1121, 82), (309, 30, 1121, 82), (310, 30, 1121, 82), (311, 30, 1121, 82), (208, 31, 1121, 82), (209, 31, 1121, 82), (259, 31, 1121, 82), (309, 31, 1121, 82), (310, 31, 1121, 82), (311, 31, 1121, 82), (208, 32, 1121, 82), (209, 32, 1121, 82), (309, 32, 1121, 82), (310, 32, 1121, 82)]', 'distance': '25'}
19:52:54 -                 来自: main.py:322 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (3, [(208, 27, 1121, 82), (309, 27, 1121, 82), (259, 29, 1121, 82)])
19:52:54 -                 来自: main.py:322 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(360, 30, 1121, 82), (361, 30, 1121, 82)]', 'distance': '25'}
19:52:54 -                 来自: main.py:322 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(360, 30, 1121, 82)])
19:52:54 -                 来自: main.py:322 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(411, 29, 1121, 82), (462, 29, 1121, 82), (411, 30, 1121, 82), (412, 30, 1121, 82), (461, 30, 1121, 82), (462, 30, 1121, 82), (411, 31, 1121, 82), (462, 31, 1121, 82)]', 'distance': '25'}
19:52:54 -                 来自: main.py:322 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(411, 29, 1121, 82), (462, 29, 1121, 82)])
19:52:54 -                 来自: main.py:322 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(513, 30, 1121, 82), (513, 31, 1121, 82), (514, 31, 1121, 82), (513, 32, 1121, 82)]', 'distance': '25'}
19:52:54 -                 来自: main.py:322 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(513, 30, 1121, 82)])
19:52:54 -                 来自: main.py:322 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(562, 30, 1121, 82), (563, 30, 1121, 82), (564, 30, 1121, 82), (562, 31, 1121, 82), (563, 31, 1121, 82), (564, 31, 1121, 82), (562, 32, 1121, 82), (563, 32, 1121, 82), (564, 32, 1121, 82)]', 'distance': '25'}
19:52:54 -                 来自: main.py:322 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(562, 30, 1121, 82)])
19:52:54 -                 来自: main.py:322 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(614, 29, 1121, 82), (615, 29, 1121, 82), (613, 30, 1121, 82), (614, 30, 1121, 82), (615, 30, 1121, 82), (665, 30, 1121, 82), (613, 31, 1121, 82), (614, 31, 1121, 82), (615, 31, 1121, 82), (664, 31, 1121, 82), (665, 31, 1121, 82), (612, 32, 1121, 82), (613, 32, 1121, 82), (614, 32, 1121, 82), (664, 32, 1121, 82), (613, 33, 1121, 82), (614, 33, 1121, 82)]', 'distance': '25'}
19:52:54 -                 来自: main.py:322 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(614, 29, 1121, 82), (665, 30, 1121, 82)])
19:52:54 -                 来自: main.py:322 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(765, 28, 1121, 82), (766, 28, 1121, 82), (767, 28, 1121, 82), (715, 29, 1121, 82), (716, 29, 1121, 82), (764, 29, 1121, 82), (765, 29, 1121, 82), (766, 29, 1121, 82), (767, 29, 1121, 82), (816, 29, 1121, 82), (817, 29, 1121, 82), (765, 30, 1121, 82), (766, 30, 1121, 82), (767, 30, 1121, 82)]', 'distance': '25'}
19:52:54 -                 来自: main.py:322 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (3, [(765, 28, 1121, 82), (715, 29, 1121, 82), (816, 29, 1121, 82)])
19:52:54 -                 来自: main.py:322 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(865, 30, 1121, 82), (866, 30, 1121, 82), (867, 30, 1121, 82), (865, 31, 1121, 82), (866, 31, 1121, 82), (867, 31, 1121, 82), (868, 31, 1121, 82), (916, 31, 1121, 82), (917, 31, 1121, 82), (865, 32, 1121, 82), (866, 32, 1121, 82), (867, 32, 1121, 82)]', 'distance': '25'}
19:52:54 -                 来自: main.py:322 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(865, 30, 1121, 82), (916, 31, 1121, 82)])
19:52:54 -             来自: main.py:376 - find_my_cards                    | 函数返回            | __main__.cards_info                      | 返回值: 22AAAKJJ987755533
19:52:54 -         来自: main.py:741 - before_start                     | 函数返回            | __main__.find_my_cards                   | 返回值: 22AAAKJJ987755533
19:52:54 -         来自: main.py:799 - before_start                     | 调用函数            | __main__.find_pic                        | 参数: {'path': 'jiao_btn', 'pos': '(214, 380, 791, 93)', 'click': 'False'}
19:52:54 -         来自: main.py:799 - before_start                     | 函数返回            | __main__.find_pic                        | 返回值: None
19:52:54 -         来自: main.py:817 - before_start                     | 调用函数            | __main__.find_pic                        | 参数: {'path': 'qiang_btn', 'pos': '(214, 380, 791, 93)', 'click': 'False'}
19:52:55 -         来自: main.py:817 - before_start                     | 函数返回            | __main__.find_pic                        | 返回值: None
19:52:55 -         来自: main.py:880 - before_start                     | 调用函数            | __main__.find_pic                        | 参数: {'path': 'mingpai_btn', 'pos': '(214, 380, 791, 93)', 'click': 'False'}
19:52:55 -         来自: main.py:880 - before_start                     | 函数返回            | __main__.find_pic                        | 返回值: None
19:52:55 -         来自: main.py:890 - before_start                     | 调用函数            | __main__.detect_start_btn                | 参数: {'self': '<__main__.Worker object at 0x0000020D22013310>'}
19:52:55 -             来自: main.py:636 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'continue', 'pos': '(545, 503, 170, 60)', 'click': 'True'}
19:52:55 -             来自: main.py:636 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:52:55 -             来自: main.py:639 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'reward', 'pos': '(521, 506, 199, 76)', 'click': 'True'}
19:52:55 -             来自: main.py:639 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:52:55 -             来自: main.py:642 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'start_game', 'pos': '(201, 260, 840, 74)', 'click': 'True'}
19:52:55 -             来自: main.py:642 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:52:55 -             来自: main.py:645 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuoguan', 'pos': '(485, 620, 269, 92)', 'click': 'True'}
19:52:55 -             来自: main.py:645 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:52:55 -             来自: main.py:648 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'sure', 'pos': '(560, 405, 256, 127)', 'click': 'True'}
19:52:55 -             来自: main.py:648 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:52:55 -             来自: main.py:651 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuijian', 'pos': '(648, 413, 194, 88)', 'click': 'True'}
19:52:55 -             来自: main.py:651 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:52:55 -             来自: main.py:654 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'good', 'pos': '(385, 532, 194, 78)', 'click': 'True'}
19:52:55 -             来自: main.py:654 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:52:55 -             来自: main.py:657 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'zhidao', 'pos': '(527, 482, 199, 83)', 'click': 'True'}
19:52:55 -             来自: main.py:657 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:52:55 -             来自: main.py:660 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'chacha', 'pos': '(920, 57, 266, 204)', 'click': 'True'}
19:52:55 -             来自: main.py:660 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:52:55 -             来自: main.py:663 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'quick_start', 'pos': '(831, 595, 219, 87)', 'click': 'True'}
19:52:56 -             来自: main.py:663 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:52:56 -         来自: main.py:890 - before_start                     | 函数返回            | __main__.detect_start_btn                | 返回值: None
19:52:56 -         来自: main.py:741 - before_start                     | 调用函数            | __main__.find_my_cards                   | 参数: {'self': '<__main__.Worker object at 0x0000020D22013310>'}
19:52:56 -             来自: main.py:376 - find_my_cards                    | 调用函数            | __main__.cards_info                      | 参数: {'self': '<__main__.Worker object at 0x0000020D22013310>', 'img': '[[[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n ...\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]]', 'pos': '(54, 481, 1121, 82)', 'mark': 'm', 'confidence': '0.8'}
19:52:56 -                 来自: main.py:322 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(107, 30, 1121, 82), (108, 30, 1121, 82), (109, 30, 1121, 82), (159, 30, 1121, 82), (107, 31, 1121, 82), (108, 31, 1121, 82), (109, 31, 1121, 82), (158, 31, 1121, 82), (159, 31, 1121, 82), (107, 32, 1121, 82), (108, 32, 1121, 82), (109, 32, 1121, 82), (158, 32, 1121, 82)]', 'distance': '25'}
19:52:56 -                 来自: main.py:322 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(107, 30, 1121, 82), (159, 30, 1121, 82)])
19:52:56 -                 来自: main.py:322 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(208, 27, 1121, 82), (209, 27, 1121, 82), (309, 27, 1121, 82), (310, 27, 1121, 82), (208, 28, 1121, 82), (209, 28, 1121, 82), (309, 28, 1121, 82), (310, 28, 1121, 82), (208, 29, 1121, 82), (209, 29, 1121, 82), (210, 29, 1121, 82), (259, 29, 1121, 82), (309, 29, 1121, 82), (310, 29, 1121, 82), (311, 29, 1121, 82), (208, 30, 1121, 82), (209, 30, 1121, 82), (210, 30, 1121, 82), (259, 30, 1121, 82), (260, 30, 1121, 82), (309, 30, 1121, 82), (310, 30, 1121, 82), (311, 30, 1121, 82), (208, 31, 1121, 82), (209, 31, 1121, 82), (259, 31, 1121, 82), (309, 31, 1121, 82), (310, 31, 1121, 82), (311, 31, 1121, 82), (208, 32, 1121, 82), (209, 32, 1121, 82), (309, 32, 1121, 82), (310, 32, 1121, 82)]', 'distance': '25'}
19:52:56 -                 来自: main.py:322 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (3, [(208, 27, 1121, 82), (309, 27, 1121, 82), (259, 29, 1121, 82)])
19:52:56 -                 来自: main.py:322 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(360, 30, 1121, 82), (361, 30, 1121, 82)]', 'distance': '25'}
19:52:56 -                 来自: main.py:322 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(360, 30, 1121, 82)])
19:52:56 -                 来自: main.py:322 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(411, 29, 1121, 82), (462, 29, 1121, 82), (411, 30, 1121, 82), (412, 30, 1121, 82), (461, 30, 1121, 82), (462, 30, 1121, 82), (411, 31, 1121, 82), (462, 31, 1121, 82)]', 'distance': '25'}
19:52:56 -                 来自: main.py:322 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(411, 29, 1121, 82), (462, 29, 1121, 82)])
19:52:56 -                 来自: main.py:322 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(513, 30, 1121, 82), (513, 31, 1121, 82), (514, 31, 1121, 82), (513, 32, 1121, 82)]', 'distance': '25'}
19:52:56 -                 来自: main.py:322 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(513, 30, 1121, 82)])
19:52:56 -                 来自: main.py:322 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(562, 30, 1121, 82), (563, 30, 1121, 82), (564, 30, 1121, 82), (562, 31, 1121, 82), (563, 31, 1121, 82), (564, 31, 1121, 82), (562, 32, 1121, 82), (563, 32, 1121, 82), (564, 32, 1121, 82)]', 'distance': '25'}
19:52:56 -                 来自: main.py:322 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(562, 30, 1121, 82)])
19:52:56 -                 来自: main.py:322 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(614, 29, 1121, 82), (615, 29, 1121, 82), (613, 30, 1121, 82), (614, 30, 1121, 82), (615, 30, 1121, 82), (665, 30, 1121, 82), (613, 31, 1121, 82), (614, 31, 1121, 82), (615, 31, 1121, 82), (664, 31, 1121, 82), (665, 31, 1121, 82), (612, 32, 1121, 82), (613, 32, 1121, 82), (614, 32, 1121, 82), (664, 32, 1121, 82), (613, 33, 1121, 82), (614, 33, 1121, 82)]', 'distance': '25'}
19:52:56 -                 来自: main.py:322 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(614, 29, 1121, 82), (665, 30, 1121, 82)])
19:52:56 -                 来自: main.py:322 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(765, 28, 1121, 82), (766, 28, 1121, 82), (767, 28, 1121, 82), (715, 29, 1121, 82), (716, 29, 1121, 82), (764, 29, 1121, 82), (765, 29, 1121, 82), (766, 29, 1121, 82), (767, 29, 1121, 82), (816, 29, 1121, 82), (817, 29, 1121, 82), (765, 30, 1121, 82), (766, 30, 1121, 82), (767, 30, 1121, 82)]', 'distance': '25'}
19:52:56 -                 来自: main.py:322 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (3, [(765, 28, 1121, 82), (715, 29, 1121, 82), (816, 29, 1121, 82)])
19:52:56 -                 来自: main.py:322 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(865, 30, 1121, 82), (866, 30, 1121, 82), (867, 30, 1121, 82), (865, 31, 1121, 82), (866, 31, 1121, 82), (867, 31, 1121, 82), (868, 31, 1121, 82), (916, 31, 1121, 82), (917, 31, 1121, 82), (865, 32, 1121, 82), (866, 32, 1121, 82), (867, 32, 1121, 82)]', 'distance': '25'}
19:52:56 -                 来自: main.py:322 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(865, 30, 1121, 82), (916, 31, 1121, 82)])
19:52:56 -             来自: main.py:376 - find_my_cards                    | 函数返回            | __main__.cards_info                      | 返回值: 22AAAKJJ987755533
19:52:56 -         来自: main.py:741 - before_start                     | 函数返回            | __main__.find_my_cards                   | 返回值: 22AAAKJJ987755533
19:52:56 -         来自: main.py:799 - before_start                     | 调用函数            | __main__.find_pic                        | 参数: {'path': 'jiao_btn', 'pos': '(214, 380, 791, 93)', 'click': 'False'}
19:52:56 -         来自: main.py:799 - before_start                     | 函数返回            | __main__.find_pic                        | 返回值: None
19:52:56 -         来自: main.py:817 - before_start                     | 调用函数            | __main__.find_pic                        | 参数: {'path': 'qiang_btn', 'pos': '(214, 380, 791, 93)', 'click': 'False'}
19:52:56 -         来自: main.py:817 - before_start                     | 函数返回            | __main__.find_pic                        | 返回值: None
19:52:56 -         来自: main.py:880 - before_start                     | 调用函数            | __main__.find_pic                        | 参数: {'path': 'mingpai_btn', 'pos': '(214, 380, 791, 93)', 'click': 'False'}
19:52:56 -         来自: main.py:880 - before_start                     | 函数返回            | __main__.find_pic                        | 返回值: None
19:52:56 -         来自: main.py:890 - before_start                     | 调用函数            | __main__.detect_start_btn                | 参数: {'self': '<__main__.Worker object at 0x0000020D22013310>'}
19:52:56 -             来自: main.py:636 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'continue', 'pos': '(545, 503, 170, 60)', 'click': 'True'}
19:52:56 -             来自: main.py:636 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:52:56 -             来自: main.py:639 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'reward', 'pos': '(521, 506, 199, 76)', 'click': 'True'}
19:52:56 -             来自: main.py:639 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:52:56 -             来自: main.py:642 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'start_game', 'pos': '(201, 260, 840, 74)', 'click': 'True'}
19:52:56 -             来自: main.py:642 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:52:56 -             来自: main.py:645 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuoguan', 'pos': '(485, 620, 269, 92)', 'click': 'True'}
19:52:57 -             来自: main.py:645 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:52:57 -             来自: main.py:648 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'sure', 'pos': '(560, 405, 256, 127)', 'click': 'True'}
19:52:57 -             来自: main.py:648 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:52:57 -             来自: main.py:651 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuijian', 'pos': '(648, 413, 194, 88)', 'click': 'True'}
19:52:57 -             来自: main.py:651 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:52:57 -             来自: main.py:654 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'good', 'pos': '(385, 532, 194, 78)', 'click': 'True'}
19:52:57 -             来自: main.py:654 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:52:57 -             来自: main.py:657 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'zhidao', 'pos': '(527, 482, 199, 83)', 'click': 'True'}
19:52:57 -             来自: main.py:657 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:52:57 -             来自: main.py:660 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'chacha', 'pos': '(920, 57, 266, 204)', 'click': 'True'}
19:52:57 -             来自: main.py:660 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:52:57 -             来自: main.py:663 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'quick_start', 'pos': '(831, 595, 219, 87)', 'click': 'True'}
19:52:57 -             来自: main.py:663 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:52:57 -         来自: main.py:890 - before_start                     | 函数返回            | __main__.detect_start_btn                | 返回值: None
19:52:57 -         来自: main.py:741 - before_start                     | 调用函数            | __main__.find_my_cards                   | 参数: {'self': '<__main__.Worker object at 0x0000020D22013310>'}
19:52:57 -             来自: main.py:376 - find_my_cards                    | 调用函数            | __main__.cards_info                      | 参数: {'self': '<__main__.Worker object at 0x0000020D22013310>', 'img': '[[[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n ...\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]]', 'pos': '(54, 481, 1121, 82)', 'mark': 'm', 'confidence': '0.8'}
19:52:57 -                 来自: main.py:322 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(107, 30, 1121, 82), (108, 30, 1121, 82), (109, 30, 1121, 82), (159, 30, 1121, 82), (107, 31, 1121, 82), (108, 31, 1121, 82), (109, 31, 1121, 82), (158, 31, 1121, 82), (159, 31, 1121, 82), (107, 32, 1121, 82), (108, 32, 1121, 82), (109, 32, 1121, 82), (158, 32, 1121, 82)]', 'distance': '25'}
19:52:57 -                 来自: main.py:322 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(107, 30, 1121, 82), (159, 30, 1121, 82)])
19:52:57 -                 来自: main.py:322 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(208, 27, 1121, 82), (209, 27, 1121, 82), (309, 27, 1121, 82), (310, 27, 1121, 82), (208, 28, 1121, 82), (209, 28, 1121, 82), (309, 28, 1121, 82), (310, 28, 1121, 82), (208, 29, 1121, 82), (209, 29, 1121, 82), (210, 29, 1121, 82), (259, 29, 1121, 82), (309, 29, 1121, 82), (310, 29, 1121, 82), (311, 29, 1121, 82), (208, 30, 1121, 82), (209, 30, 1121, 82), (210, 30, 1121, 82), (259, 30, 1121, 82), (260, 30, 1121, 82), (309, 30, 1121, 82), (310, 30, 1121, 82), (311, 30, 1121, 82), (208, 31, 1121, 82), (209, 31, 1121, 82), (259, 31, 1121, 82), (309, 31, 1121, 82), (310, 31, 1121, 82), (311, 31, 1121, 82), (208, 32, 1121, 82), (209, 32, 1121, 82), (309, 32, 1121, 82), (310, 32, 1121, 82)]', 'distance': '25'}
19:52:57 -                 来自: main.py:322 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (3, [(208, 27, 1121, 82), (309, 27, 1121, 82), (259, 29, 1121, 82)])
19:52:57 -                 来自: main.py:322 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(360, 30, 1121, 82), (361, 30, 1121, 82)]', 'distance': '25'}
19:52:57 -                 来自: main.py:322 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(360, 30, 1121, 82)])
