18:38:56 - 来自: main.py:1745 - <module>                        | 调用函数            | __main__.__init__                        | 参数: {'self': '<__main__.MaYun object at 0x0000012E1258A040>'}
18:39:31 -         来自: main.py:791 - before_start                     | 调用函数            | __main__.detect_start_btn                | 参数: {'self': '<__main__.Worker object at 0x0000012E13F655E0>'}
18:39:32 -             来自: main.py:660 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'continue', 'pos': '(545, 503, 170, 60)', 'click': 'True'}
18:39:32 -             来自: main.py:660 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
18:39:32 -             来自: main.py:663 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'reward', 'pos': '(521, 506, 199, 76)', 'click': 'True'}
18:39:32 -             来自: main.py:663 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
18:39:32 -             来自: main.py:666 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'start_game', 'pos': '(201, 260, 840, 74)', 'click': 'True'}
18:39:32 -             来自: main.py:666 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
18:39:32 -             来自: main.py:669 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuoguan', 'pos': '(485, 620, 269, 92)', 'click': 'True'}
18:39:32 -             来自: main.py:669 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
18:39:32 -             来自: main.py:672 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'sure', 'pos': '(560, 405, 256, 127)', 'click': 'True'}
18:39:32 -             来自: main.py:672 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
18:39:32 -             来自: main.py:675 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuijian', 'pos': '(648, 413, 194, 88)', 'click': 'True'}
18:39:32 -             来自: main.py:675 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
18:39:32 -             来自: main.py:678 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'good', 'pos': '(385, 532, 194, 78)', 'click': 'True'}
18:39:32 -             来自: main.py:678 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
18:39:32 -             来自: main.py:681 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'zhidao', 'pos': '(527, 482, 199, 83)', 'click': 'True'}
18:39:32 -             来自: main.py:681 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
18:39:32 -             来自: main.py:684 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'chacha', 'pos': '(920, 57, 266, 204)', 'click': 'True'}
18:39:32 -             来自: main.py:684 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
18:39:32 -             来自: main.py:687 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'quick_start', 'pos': '(831, 595, 219, 87)', 'click': 'True'}
18:39:32 -             来自: main.py:687 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
18:39:32 -         来自: main.py:791 - before_start                     | 函数返回            | __main__.detect_start_btn                | 返回值: None
18:39:32 -         来自: main.py:776 - before_start                     | 调用函数            | __main__.find_my_cards                   | 参数: {'self': '<__main__.Worker object at 0x0000012E13F655E0>'}
18:39:32 -             来自: main.py:387 - find_my_cards                    | 调用函数            | __main__.cards_info                      | 参数: {'self': '<__main__.Worker object at 0x0000012E13F655E0>', 'img': '[[[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n ...\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]]', 'pos': '(54, 481, 1121, 82)', 'mark': 'm', 'confidence': '0.8'}
18:39:32 -                 来自: main.py:333 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(534, 26, 1121, 82), (534, 27, 1121, 82), (535, 27, 1121, 82), (534, 28, 1121, 82)]', 'distance': '25'}
18:39:32 -                 来自: main.py:333 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(534, 26, 1121, 82)])
18:39:32 -                 来自: main.py:333 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(536, 27, 1121, 82), (537, 27, 1121, 82), (536, 28, 1121, 82), (537, 28, 1121, 82), (538, 28, 1121, 82), (536, 29, 1121, 82), (537, 29, 1121, 82)]', 'distance': '25'}
18:39:32 -                 来自: main.py:333 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(536, 27, 1121, 82)])
18:39:32 -                 来自: main.py:333 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(589, 29, 1121, 82), (588, 30, 1121, 82), (589, 30, 1121, 82), (590, 30, 1121, 82), (587, 31, 1121, 82), (588, 31, 1121, 82), (589, 31, 1121, 82), (590, 31, 1121, 82), (587, 32, 1121, 82), (588, 32, 1121, 82), (589, 32, 1121, 82)]', 'distance': '25'}
18:39:32 -                 来自: main.py:333 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(589, 29, 1121, 82)])
18:39:32 -                 来自: main.py:333 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(335, 29, 1121, 82), (335, 30, 1121, 82), (335, 31, 1121, 82)]', 'distance': '25'}
18:39:32 -                 来自: main.py:333 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(335, 29, 1121, 82)])
18:39:32 -                 来自: main.py:333 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(689, 29, 1121, 82), (689, 30, 1121, 82), (690, 30, 1121, 82)]', 'distance': '25'}
18:39:32 -                 来自: main.py:333 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(689, 29, 1121, 82)])
18:39:32 -                 来自: main.py:333 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(638, 30, 1121, 82), (638, 31, 1121, 82), (639, 31, 1121, 82), (638, 32, 1121, 82)]', 'distance': '25'}
18:39:32 -                 来自: main.py:333 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(638, 30, 1121, 82)])
18:39:32 -                 来自: main.py:333 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(740, 28, 1121, 82), (739, 29, 1121, 82), (740, 29, 1121, 82), (741, 29, 1121, 82), (739, 30, 1121, 82), (740, 30, 1121, 82), (741, 30, 1121, 82), (739, 31, 1121, 82), (740, 31, 1121, 82), (741, 31, 1121, 82), (740, 32, 1121, 82)]', 'distance': '25'}
18:39:32 -                 来自: main.py:333 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(740, 28, 1121, 82)])
18:39:32 -                 来自: main.py:333 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(486, 30, 1121, 82), (790, 30, 1121, 82), (486, 31, 1121, 82), (487, 31, 1121, 82), (790, 31, 1121, 82), (486, 32, 1121, 82), (790, 32, 1121, 82)]', 'distance': '25'}
18:39:32 -                 来自: main.py:333 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(486, 30, 1121, 82), (790, 30, 1121, 82)])
18:39:32 -                 来自: main.py:333 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(234, 30, 1121, 82), (235, 30, 1121, 82), (236, 30, 1121, 82), (234, 31, 1121, 82), (235, 31, 1121, 82), (236, 31, 1121, 82), (285, 31, 1121, 82), (286, 31, 1121, 82), (234, 32, 1121, 82), (235, 32, 1121, 82), (236, 32, 1121, 82)]', 'distance': '25'}
18:39:32 -                 来自: main.py:333 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(234, 30, 1121, 82), (285, 31, 1121, 82)])
18:39:32 -                 来自: main.py:333 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(386, 29, 1121, 82), (386, 30, 1121, 82), (387, 30, 1121, 82), (386, 31, 1121, 82)]', 'distance': '25'}
18:39:32 -                 来自: main.py:333 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(386, 29, 1121, 82)])
18:39:32 -                 来自: main.py:333 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(436, 31, 1121, 82), (437, 31, 1121, 82)]', 'distance': '25'}
18:39:32 -                 来自: main.py:333 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(436, 31, 1121, 82)])
18:39:32 -             来自: main.py:387 - find_my_cards                    | 函数返回            | __main__.cards_info                      | 返回值: X2AKQJTT9963
18:39:32 -         来自: main.py:776 - before_start                     | 函数返回            | __main__.find_my_cards                   | 返回值: X2AKQJTT9963
18:39:33 -         来自: main.py:791 - before_start                     | 调用函数            | __main__.detect_start_btn                | 参数: {'self': '<__main__.Worker object at 0x0000012E13F655E0>'}
18:39:33 -             来自: main.py:660 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'continue', 'pos': '(545, 503, 170, 60)', 'click': 'True'}
18:39:33 -             来自: main.py:660 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
18:39:33 -             来自: main.py:663 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'reward', 'pos': '(521, 506, 199, 76)', 'click': 'True'}
18:39:33 -             来自: main.py:663 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
18:39:33 -             来自: main.py:666 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'start_game', 'pos': '(201, 260, 840, 74)', 'click': 'True'}
18:39:33 -             来自: main.py:666 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
18:39:33 -             来自: main.py:669 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuoguan', 'pos': '(485, 620, 269, 92)', 'click': 'True'}
18:39:33 -             来自: main.py:669 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
18:39:33 -             来自: main.py:672 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'sure', 'pos': '(560, 405, 256, 127)', 'click': 'True'}
18:39:33 -             来自: main.py:672 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
18:39:33 -             来自: main.py:675 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuijian', 'pos': '(648, 413, 194, 88)', 'click': 'True'}
18:39:33 -             来自: main.py:675 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
18:39:33 -             来自: main.py:678 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'good', 'pos': '(385, 532, 194, 78)', 'click': 'True'}
18:39:33 -             来自: main.py:678 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
18:39:33 -             来自: main.py:681 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'zhidao', 'pos': '(527, 482, 199, 83)', 'click': 'True'}
18:39:33 -             来自: main.py:681 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
18:39:33 -             来自: main.py:684 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'chacha', 'pos': '(920, 57, 266, 204)', 'click': 'True'}
18:39:33 -             来自: main.py:684 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
18:39:33 -             来自: main.py:687 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'quick_start', 'pos': '(831, 595, 219, 87)', 'click': 'True'}
18:39:33 -             来自: main.py:687 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
18:39:33 -         来自: main.py:791 - before_start                     | 函数返回            | __main__.detect_start_btn                | 返回值: None
18:39:33 -         来自: main.py:776 - before_start                     | 调用函数            | __main__.find_my_cards                   | 参数: {'self': '<__main__.Worker object at 0x0000012E13F655E0>'}
18:39:33 -             来自: main.py:387 - find_my_cards                    | 调用函数            | __main__.cards_info                      | 参数: {'self': '<__main__.Worker object at 0x0000012E13F655E0>', 'img': '[[[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n ...\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]]', 'pos': '(54, 481, 1121, 82)', 'mark': 'm', 'confidence': '0.8'}
18:39:33 -                 来自: main.py:333 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(104, 26, 1121, 82), (104, 27, 1121, 82), (105, 27, 1121, 82), (104, 28, 1121, 82)]', 'distance': '25'}
18:39:33 -                 来自: main.py:333 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(104, 26, 1121, 82)])
18:39:33 -                 来自: main.py:333 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(106, 27, 1121, 82), (107, 27, 1121, 82), (106, 28, 1121, 82), (107, 28, 1121, 82), (108, 28, 1121, 82), (106, 29, 1121, 82), (107, 29, 1121, 82)]', 'distance': '25'}
18:39:33 -                 来自: main.py:333 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(106, 27, 1121, 82)])
18:39:33 -                 来自: main.py:333 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(159, 29, 1121, 82), (158, 30, 1121, 82), (159, 30, 1121, 82), (160, 30, 1121, 82), (157, 31, 1121, 82), (158, 31, 1121, 82), (159, 31, 1121, 82), (160, 31, 1121, 82), (157, 32, 1121, 82), (158, 32, 1121, 82), (159, 32, 1121, 82)]', 'distance': '25'}
18:39:33 -                 来自: main.py:333 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(159, 29, 1121, 82)])
18:39:33 -                 来自: main.py:333 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(208, 29, 1121, 82), (209, 29, 1121, 82), (208, 30, 1121, 82), (209, 30, 1121, 82), (208, 31, 1121, 82), (209, 31, 1121, 82)]', 'distance': '25'}
18:39:33 -                 来自: main.py:333 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(208, 29, 1121, 82)])
18:39:33 -                 来自: main.py:333 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(310, 29, 1121, 82), (259, 30, 1121, 82), (260, 30, 1121, 82), (310, 30, 1121, 82)]', 'distance': '25'}
18:39:33 -                 来自: main.py:333 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(310, 29, 1121, 82), (259, 30, 1121, 82)])
18:39:33 -                 来自: main.py:333 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(360, 30, 1121, 82), (360, 31, 1121, 82), (361, 31, 1121, 82), (360, 32, 1121, 82)]', 'distance': '25'}
18:39:33 -                 来自: main.py:333 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(360, 30, 1121, 82)])
18:39:33 -                 来自: main.py:333 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(411, 28, 1121, 82), (412, 28, 1121, 82), (512, 28, 1121, 82), (513, 28, 1121, 82), (410, 29, 1121, 82), (411, 29, 1121, 82), (412, 29, 1121, 82), (462, 29, 1121, 82), (511, 29, 1121, 82), (512, 29, 1121, 82), (513, 29, 1121, 82), (410, 30, 1121, 82), (411, 30, 1121, 82), (412, 30, 1121, 82), (461, 30, 1121, 82), (462, 30, 1121, 82), (511, 30, 1121, 82), (512, 30, 1121, 82), (513, 30, 1121, 82), (514, 30, 1121, 82), (410, 31, 1121, 82), (411, 31, 1121, 82), (412, 31, 1121, 82), (462, 31, 1121, 82), (511, 31, 1121, 82), (512, 31, 1121, 82), (513, 31, 1121, 82), (411, 32, 1121, 82), (412, 32, 1121, 82), (512, 32, 1121, 82), (513, 32, 1121, 82)]', 'distance': '25'}
18:39:33 -                 来自: main.py:333 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (3, [(411, 28, 1121, 82), (512, 28, 1121, 82), (462, 29, 1121, 82)])
18:39:33 -                 来自: main.py:333 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(613, 28, 1121, 82), (613, 29, 1121, 82), (562, 30, 1121, 82), (612, 30, 1121, 82), (613, 30, 1121, 82), (663, 30, 1121, 82), (664, 30, 1121, 82), (562, 31, 1121, 82), (612, 31, 1121, 82), (613, 31, 1121, 82), (614, 31, 1121, 82), (663, 31, 1121, 82), (664, 31, 1121, 82), (562, 32, 1121, 82), (612, 32, 1121, 82), (613, 32, 1121, 82), (663, 32, 1121, 82), (613, 33, 1121, 82)]', 'distance': '25'}
18:39:33 -                 来自: main.py:333 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (3, [(613, 28, 1121, 82), (562, 30, 1121, 82), (663, 30, 1121, 82)])
18:39:33 -                 来自: main.py:333 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(715, 30, 1121, 82), (716, 30, 1121, 82), (766, 30, 1121, 82), (714, 31, 1121, 82), (715, 31, 1121, 82), (716, 31, 1121, 82), (717, 31, 1121, 82), (766, 31, 1121, 82), (767, 31, 1121, 82), (715, 32, 1121, 82), (716, 32, 1121, 82), (766, 32, 1121, 82)]', 'distance': '25'}
18:39:33 -                 来自: main.py:333 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(715, 30, 1121, 82), (766, 30, 1121, 82)])
18:39:33 -                 来自: main.py:333 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(815, 29, 1121, 82), (816, 29, 1121, 82), (817, 29, 1121, 82), (815, 30, 1121, 82), (816, 30, 1121, 82), (817, 30, 1121, 82), (866, 30, 1121, 82), (867, 30, 1121, 82), (815, 31, 1121, 82), (816, 31, 1121, 82), (817, 31, 1121, 82)]', 'distance': '25'}
18:39:33 -                 来自: main.py:333 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(815, 29, 1121, 82), (866, 30, 1121, 82)])
18:39:33 -                 来自: main.py:333 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(916, 31, 1121, 82), (917, 31, 1121, 82)]', 'distance': '25'}
18:39:33 -                 来自: main.py:333 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(916, 31, 1121, 82)])
18:39:33 -             来自: main.py:387 - find_my_cards                    | 函数返回            | __main__.cards_info                      | 返回值: X2AKKQJJJTTT99663
18:39:33 -         来自: main.py:776 - before_start                     | 函数返回            | __main__.find_my_cards                   | 返回值: X2AKKQJJJTTT99663
18:39:33 -         来自: main.py:822 - before_start                     | 调用函数            | __main__.find_pic                        | 参数: {'path': 'jiao_btn', 'pos': '(214, 380, 791, 93)', 'click': 'False'}
18:39:33 - 来自: main.py:1747 - <module>                        | 调用函数            | __main__.bid_display                     | 参数: {'self': '<__main__.MaYun object at 0x0000012E1258A040>', 'result': '得分：-0.07'}
18:39:33 - 来自: main.py:1747 - <module>                        | 函数返回            | __main__.bid_display                     | 返回值: None
18:39:33 - 来自: main.py:1747 - <module>                        | 调用函数            | __main__.suggest1_text                   | 参数: {'self': '<__main__.MaYun object at 0x0000012E1258A040>', 'result': '建议： 不叫'}
18:39:33 - 来自: main.py:1747 - <module>                        | 函数返回            | __main__.suggest1_text                   | 返回值: None
18:39:33 - 来自: main.py:1747 - <module>                        | 调用函数            | __main__.suggest2_text                   | 参数: {'self': '<__main__.MaYun object at 0x0000012E1258A040>', 'result': '建议： 不加倍'}
18:39:33 - 来自: main.py:1747 - <module>                        | 函数返回            | __main__.suggest2_text                   | 返回值: None
18:39:33 - 来自: main.py:1747 - <module>                        | 调用函数            | __main__.cards_recorder                  | 参数: {'self': '<__main__.MaYun object at 0x0000012E1258A040>', 'result': 'D222AAAKKQQQJT99888877776655554444333'}
18:39:33 - 来自: main.py:1747 - <module>                        | 函数返回            | __main__.cards_recorder                  | 返回值: None
18:39:33 -         来自: main.py:822 - before_start                     | 函数返回            | __main__.find_pic                        | 返回值: None
18:39:33 -         来自: main.py:840 - before_start                     | 调用函数            | __main__.find_pic                        | 参数: {'path': 'qiang_btn', 'pos': '(214, 380, 791, 93)', 'click': 'False'}
18:39:33 -         来自: main.py:840 - before_start                     | 函数返回            | __main__.find_pic                        | 返回值: None
18:39:33 -         来自: main.py:852 - before_start                     | 调用函数            | __main__.find_pic                        | 参数: {'path': 'dizhu', 'pos': '(85, 615, 54, 72)', 'click': 'False'}
18:39:33 -         来自: main.py:852 - before_start                     | 函数返回            | __main__.find_pic                        | 返回值: None
18:39:33 -         来自: main.py:852 - before_start                     | 调用函数            | __main__.find_pic                        | 参数: {'path': 'dizhu', 'pos': '(95, 216, 88, 100)', 'click': 'False'}
18:39:33 -         来自: main.py:852 - before_start                     | 函数返回            | __main__.find_pic                        | 返回值: None
18:39:33 -         来自: main.py:852 - before_start                     | 调用函数            | __main__.find_pic                        | 参数: {'path': 'dizhu', 'pos': '(1062, 213, 95, 100)', 'click': 'False'}
18:39:33 -         来自: main.py:852 - before_start                     | 函数返回            | __main__.find_pic                        | 返回值: None
18:39:34 -         来自: main.py:915 - before_start                     | 调用函数            | __main__.detect_start_btn                | 参数: {'self': '<__main__.Worker object at 0x0000012E13F655E0>'}
18:39:34 -             来自: main.py:660 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'continue', 'pos': '(545, 503, 170, 60)', 'click': 'True'}
18:39:34 -             来自: main.py:660 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
18:39:34 -             来自: main.py:663 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'reward', 'pos': '(521, 506, 199, 76)', 'click': 'True'}
18:39:34 -             来自: main.py:663 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
18:39:34 -             来自: main.py:666 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'start_game', 'pos': '(201, 260, 840, 74)', 'click': 'True'}
18:39:34 -             来自: main.py:666 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
18:39:34 -             来自: main.py:669 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuoguan', 'pos': '(485, 620, 269, 92)', 'click': 'True'}
18:39:34 -             来自: main.py:669 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
18:39:34 -             来自: main.py:672 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'sure', 'pos': '(560, 405, 256, 127)', 'click': 'True'}
18:39:34 -             来自: main.py:672 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
18:39:34 -             来自: main.py:675 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuijian', 'pos': '(648, 413, 194, 88)', 'click': 'True'}
18:39:34 -             来自: main.py:675 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
18:39:34 -             来自: main.py:678 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'good', 'pos': '(385, 532, 194, 78)', 'click': 'True'}
18:39:34 -             来自: main.py:678 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
18:39:34 -             来自: main.py:681 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'zhidao', 'pos': '(527, 482, 199, 83)', 'click': 'True'}
18:39:34 -             来自: main.py:681 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
18:39:34 -             来自: main.py:684 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'chacha', 'pos': '(920, 57, 266, 204)', 'click': 'True'}
18:39:34 -             来自: main.py:684 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
18:39:34 -             来自: main.py:687 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'quick_start', 'pos': '(831, 595, 219, 87)', 'click': 'True'}
18:39:34 -             来自: main.py:687 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
18:39:34 -         来自: main.py:915 - before_start                     | 函数返回            | __main__.detect_start_btn                | 返回值: None
18:39:34 -         来自: main.py:765 - before_start                     | 调用函数            | __main__.find_my_cards                   | 参数: {'self': '<__main__.Worker object at 0x0000012E13F655E0>'}
18:39:34 -             来自: main.py:387 - find_my_cards                    | 调用函数            | __main__.cards_info                      | 参数: {'self': '<__main__.Worker object at 0x0000012E13F655E0>', 'img': '[[[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n ...\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]]', 'pos': '(54, 481, 1121, 82)', 'mark': 'm', 'confidence': '0.8'}
18:39:34 -                 来自: main.py:333 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(104, 26, 1121, 82), (104, 27, 1121, 82), (105, 27, 1121, 82), (104, 28, 1121, 82)]', 'distance': '25'}
18:39:34 -                 来自: main.py:333 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(104, 26, 1121, 82)])
18:39:34 -                 来自: main.py:333 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(106, 27, 1121, 82), (107, 27, 1121, 82), (106, 28, 1121, 82), (107, 28, 1121, 82), (108, 28, 1121, 82), (106, 29, 1121, 82), (107, 29, 1121, 82)]', 'distance': '25'}
18:39:34 -                 来自: main.py:333 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(106, 27, 1121, 82)])
